arr,desc,full_desc,img,price,price_surf,rooms_num,surface
11,location Appartement 2 pièces Paris 11ème,"Chauffage et eau chaude collectifs - Situé à 50m du Métro Saint-Maur (L3),...",http://dyn.visuels.poliris.com/logosPublications/std/3/195423.png,1450,25.8928571429,2.0,56.0
7,location Appartement 4 pièces Paris 7ème,Chauffage et eaux collectifs. Situé à proximité du Quai d'Orsay et de la...,http://9.visuels.poliris.com/c175/9/d/4/f/9d4f6059-413b.jpg,3150,31.5,4.0,100.0
16,location Appartement 2 pièces Paris 16ème,"Chauffage et eau chaude collectifs - Situé à 250m du Métro Exelmans (L9),...",http://1.visuels.poliris.com/c175/1/b/f/8/1bf8daf9-4564.jpg,2100,35.0,2.0,60.0
8,location Appartement 2 pièces Paris 8ème,Situé à 250 m des Métros Saint-Augustin (L. 9) et Saint-Lazare (L...,http://a.visuels.poliris.com/c175/a/a/d/3/aad33979-5487.jpg,1890,34.3636363636,2.0,55.0
16,location Appartement 3 pièces Paris 16ème,"Chauffage collectif - Situé à 200m de l'Avenue Raymond Poincaré, Métro...",http://dyn.visuels.poliris.com/logosPublications/std/3/195423.png,2350,39.1666666667,3.0,60.0
7,location Appartement 2 pièces Paris 7ème,"Rue de la Comète, à 2 min des Invalides Dans un immeuble ancien nous vous proposons...",http://7.visuels.poliris.com/c250/7/1/a/d/71ad1b64-3bbc.jpg,1390,27.8,2.0,50.0
7,location Appartement 4 pièces Paris 7ème,Champ de Mars - Musée des Arts Primitifs: A proximité immédiate du Champ...,http://3.visuels.poliris.com/c175/3/d/0/1/3d01fa23-45e3.jpg,2583,30.3882352941,4.0,85.0
7,location Appartement 3 pièces Paris 7ème,Rue de Monttessuy - Dans un bel immeuble en pierre de...,http://e.visuels.poliris.com/c175/e/1/b/b/e1bb5c00-43d4.jpg,1786,33.6981132075,3.0,53.0
15,location Appartement 3 pièces Paris 15ème,BOUCICAUT - LOURMEL: meublé Dans une copropriété à taille...,http://c.visuels.poliris.com/c175/c/7/6/c/c76cf13d-3ae6.jpg,1500,23.0769230769,3.0,65.0
13,location Appartement 2 pièces Paris 13ème,L'agence Laforêt Jenne d'Arc vous propose un joli 2 pièces rue Jeanne...,http://9.visuels.poliris.com/c175/9/9/8/f/998f25d9-4fc7.jpg,1272,16.96,2.0,75.0
18,location Appartement 1 pièce Paris 18ème,"Marx Dormoy. Studio, 25 m², au 5e avec ascenseur. Séjour avec parquet, cuisine séparée, salle de bains avec WC, placard. Balcon donnant sur rue. Refait à...",http://4.visuels.poliris.com/c250/4/6/0/7/460752ef-2539.jpg,780,31.2,1.0,25.0
14,location Appartement 2 pièces Paris 14ème,BOULEVARD Saint JACQUES Au 1er étage d'un immeuble très bien entretenu...,http://d.visuels.poliris.com/c175/d/2/d/7/d2d7be05-53dc.jpg,1650,41.25,2.0,40.0
9,location Appartement 4 pièces Paris 9ème,Paris 9ème- Square Petrelle- Metro Anvers- Barbès ou Gare du Nord-...,http://a.visuels.poliris.com/c175/a/9/f/d/a9fda292-4648.jpg,1712,24.8115942029,4.0,69.0
9,location Appartement 3 pièces Paris 9ème,"Métro Liège 
Rue Jules Lefebvre 
Dans un très bel immeuble ancien, vaste 3...",http://0.visuels.poliris.com/c175/0/0/2/5/0025c603-8ff3.jpg,2735,26.5533980583,3.0,103.0
9,location Appartement 4 pièces Paris 9ème,"Rue Jules Lefebvre - Dans bel immeuble haussmannien - 
Très bel...",http://0.visuels.poliris.com/c175/0/0/2/5/0025c603-8ff3.jpg,3986,42.8602150538,4.0,93.0
17,location Appartement 2 pièces Paris 17ème,"Rue Dautancourt
Dans bel immeuble ancien.
Bel appartement d'une superficie...",http://2.visuels.poliris.com/c175/2/e/7/2/2e725d45-30b4.jpg,1230,25.625,2.0,48.0
17,location Appartement 1 pièce Paris 17ème,"Paris 17ème proche pont cardinet beau studio refait neuf,...",http://dyn.visuels.poliris.com/logosAgences/std/8/2028.png,860,14.8275862069,1.0,58.0
7,location Appartement 7 pièces Paris 7ème,"Rue de Grenelle - location vide - Dans un bel hôtel particulier, nous vous...",http://d.visuels.poliris.com/c175/d/0/2/9/d0291288-5fee.jpg,5000,30.303030303,7.0,165.0
6,location Appartement 1 pièce Paris 6ème,"Rue Mayet - Dans un immeuble ancien, nous vous proposons un grand studio...",http://8.visuels.poliris.com/c175/8/0/3/7/8037f47e-5734.jpg,898,10.9512195122,1.0,82.0
8,location Appartement 3 pièces Paris 8ème,"A quelques pas des Champs Élysées, nous vous proposons ce trois pièces à...",http://8.visuels.poliris.com/c175/8/3/a/9/83a94800-53c9.jpg,3500,41.1764705882,3.0,85.0
12,location Appartement 1 pièce Paris 12ème,MICHEL BIZOT.Dans immeuble ancien au 5ème et dernier étage (...,http://b.visuels.poliris.com/c175/b/5/5/2/b5520524-3769.jpg,500,25.0,1.0,20.0
14,location Appartement 2 pièces Paris 14ème,Proche des commerces et RER Cité Universitaire. Très bel...,http://b.visuels.poliris.com/c175/b/0/d/1/b0d16993-3d9a.jpg,998,24.95,2.0,40.0
17,location Appartement 6 pièces Paris 17ème,"A LOUER 75017 Paris. COURCELLES/JOUFFROY D'ABBANS, Magnifique Appartement Bourgeois...",http://d.visuels.poliris.com/c250/d/b/f/8/dbf87a04-627c.jpg,6276,27.7699115044,6.0,226.0
20,location Appartement 1 pièce Paris 20ème,"A louer un studio de 22m² dans le 20ème proche du ""Parc de Belleville""...",http://7.visuels.poliris.com/c175/7/3/4/6/73460f7a-299e.jpg,681,30.9545454545,1.0,22.0
20,location Appartement 2 pièces Paris 20ème,"A louer un 2 pièces de 30m² dans le 20ème métro ""Porte de Vincennes"" ou ""...",http://dyn.visuels.poliris.com/logosAgences/std/2/3752.png,762,25.4,2.0,30.0
16,location Appartement 1 pièce Paris 16ème,RUE PARENT DE ROSAN 75016 Paris - Au 1er étage avec...,http://c.visuels.poliris.com/c175/c/3/0/5/c305f93e-2acc.jpg,950,32.7586206897,1.0,29.0
13,location Appartement 2 pièces Paris 13ème,RUE DE TOLBIAC - Dans un immeuble ancien au 3ème étage sans...,http://1.visuels.poliris.com/c175/1/1/a/5/11a50c2f-42a6.jpg,1300,13.6842105263,2.0,95.0
4,location Appartement 1 pièce Paris 4ème,UN PETIT NID AU COEUR DE L'ÎLE Saint LOUIS 75004 - ÎLE Saint LOUIS -...,http://9.visuels.poliris.com/c175/9/d/9/e/9d9ef6c6-5230.jpg,950,52.7777777778,1.0,18.0
17,location Appartement 7 pièces Paris 17ème,"Paris XVII - Villiers - Lévis. Dans un très bel immeuble pierre de taille,...",http://3.visuels.poliris.com/c175/3/0/e/8/30e87403-34c6.jpg,5327,25.9853658537,7.0,205.0
18,location Appartement 2 pièces Paris 18ème,Paris 18ème - Métro Porte de Clignancourt - Dans une rue calme au coeur...,http://c.visuels.poliris.com/c175/c/5/c/e/c5cea43d-35a7.jpg,895,23.5526315789,2.0,38.0
11,location Appartement 2 pièces Paris 11ème,"Métro Filles Du Calvaire - Oberkampf, Passage Saint Pierre...",http://1.visuels.poliris.com/c175/1/4/2/4/14249a98-3e38.jpg,1060,42.4,2.0,25.0
9,location Appartement 2 pièces Paris 9ème,Métro Saint Georges Beau 2 pièces de 35m² au 4ème étage...,http://c.visuels.poliris.com/c175/c/4/5/a/c45ab1c8-4765.jpg,1520,43.4285714286,2.0,35.0
15,location Appartement 2 pièces Paris 15ème,"Appartement 2 Pièces meublé, 25m², à 2 min à pied Métro...",http://f.visuels.poliris.com/c175/f/f/4/8/ff48a700-258a.jpg,860,34.4,2.0,25.0
16,location Appartement 1 pièce Paris 16ème,Beau Studio Avenue de Versailles de 18 m² très fonctionnel et en très bon...,http://f.visuels.poliris.com/c175/f/6/6/7/f6671b44-4279.jpg,650,36.1111111111,1.0,18.0
20,location Appartement 2 pièces Paris 20ème,Paris 20ème arrondissement (Gambetta): spacieux 2 pièces refait à neuf de...,http://9.visuels.poliris.com/c175/9/9/3/6/9936eba8-33dc.jpg,1250,21.9298245614,2.0,57.0
19,location Appartement 2 pièces Paris 19ème,BUTTE BERGEYRE- Dans une maison individuelle composée de 2...,http://3.visuels.poliris.com/c175/3/8/2/d/382d3e93-4499.jpg,1375,30.5555555556,2.0,45.0
17,location Appartement 2 pièces Paris 17ème,Situé Rue Dautancourt au 3ème étage nous vous proposons un appartement 2...,http://5.visuels.poliris.com/c175/5/a/9/8/5a98f2e7-5aa2.jpg,866,27.0625,2.0,32.0
17,location Appartement 1 pièce Paris 17ème,"A proximité du métro Guy Moquet, nous vous proposons un beau studio...",http://9.visuels.poliris.com/c175/9/5/d/0/95d06ec1-3c3b.jpg,716,25.5714285714,1.0,28.0
15,location Appartement 1 pièce Paris 15ème,"Studio élégant, meublée d'un lit de haute qualité et un canapé convertible, salle de bains avec douche, Internet et télévision par câble. Cuisine...",http://2.visuels.poliris.com/c250/2/6/6/1/266188d8-4c13.jpg,816,35.4782608696,1.0,23.0
16,location Appartement 5 pièces Paris 16ème,Paris 16ème - étoile avenue victor hugo dans bel immeuble pierre de taille...,http://7.visuels.poliris.com/c175/7/b/1/6/7b1653cd-26ed.jpg,3700,25.5172413793,5.0,145.0
16,location Appartement 8 pièces Paris 16ème,Paris 16ème/Trocadéro Un appartement vide de 287 m² au 3ème étage: Une...,http://4.visuels.poliris.com/c175/4/2/9/8/4298b60f-45d2.jpg,6800,23.6933797909,8.0,287.0
16,location Appartement 2 pièces Paris 16ème,"Rue des vignes, proche avenue Mozart et rue de Passy, entre le métro Ranelagh et La...",http://5.visuels.poliris.com/c250/5/9/6/3/5963e843-34f2.jpg,1750,22.7272727273,2.0,77.0
16,location Appartement 3 pièces Paris 16ème,"Rue Michel Ange, dans un immeuble de bon standing, nous vous proposons un...",http://1.visuels.poliris.com/c175/1/4/5/f/145fcca4-2c32.jpg,1900,22.8915662651,3.0,83.0
6,location Appartement 2 pièces Paris 6ème,"Nous vous proposons rue Saint André des arts dans un immeuble ancien, un...",http://7.visuels.poliris.com/c175/7/f/5/5/7f552968-3db3.jpg,1460,16.5909090909,2.0,88.0
17,location Appartement 2 pièces Paris 17ème,"Dans bon immeuble au 4ème étage, deux pièces en très bon
état, composé de:...",http://3.visuels.poliris.com/c175/3/f/2/0/3f2053c5-3333.jpg,905,34.8076923077,2.0,26.0
18,location Appartement 1 pièce Paris 18ème,"En plein coeur du quartier des Abbesses, rue des Trois...",http://2.visuels.poliris.com/c175/2/c/9/3/2c93bcbd-3bc0.jpg,850,31.4814814815,1.0,27.0
17,location Appartement 2 pièces Paris 17ème,"MÉTRO GUY MOQUET OU PORTE DE ST OUEN
Magnifique 2 pièces de 39.62m² au...",http://f.visuels.poliris.com/c175/f/f/a/e/ffae60f3-7177.jpg,868,22.2564102564,2.0,39.0
18,location Appartement 4 pièces Paris 18ème,"Montmartre. Situé à proximité du Sacré-Coeur, nous proposons un très bel...",http://c.visuels.poliris.com/c175/c/d/6/a/cd6af196-3372.jpg,2395,38.6290322581,4.0,62.0
16,location Appartement 2 pièces Paris 16ème,En rez-de-chaussée d'un immeuble de grand standing Salle d'attente...,http://6.visuels.poliris.com/c175/6/9/b/a/69ba08e4-1f5d.jpg,1650,17.9347826087,2.0,92.0
6,location Appartement 4 pièces Paris 6ème,"Dans un bel immeuble ancien, entre Saint-Sulpice et Saint-Germain des Prés,...",http://c.visuels.poliris.com/c175/c/f/f/5/cff55d55-5ac3.jpg,2550,33.1168831169,4.0,77.0
7,location Appartement 1 pièce Paris 7ème,"Situé rue Bosquet, nous vous proposons ce charmant studio non meublé de 15...",http://e.visuels.poliris.com/c175/e/1/5/2/e152da4b-3e7b.jpg,650,15.1162790698,1.0,43.0
8,location Appartement 6 pièces Paris 8ème,"Dans bel immeuble Pierre de taille de standing, Beau 6...",,3148,22.1690140845,6.0,142.0
15,location Appartement 3 pièces Paris 15ème,"Dans le quartier Pasteur / Montparnasse, rue de Vaugirard, au 4ème étage...",http://7.visuels.poliris.com/c175/7/7/2/5/77253801-4112.jpg,1850,25.6944444444,3.0,72.0
16,location Appartement 3 pièces Paris 16ème,Rue Duret dans un immeuble moderne un appartement de 3 pièces meublé d'une...,http://a.visuels.poliris.com/c175/a/b/1/3/ab133097-362c.jpg,2800,37.3333333333,3.0,75.0
15,location Appartement 3 pièces Paris 15ème,"Rue du Laos, dans un bel immeuble pierre de taille un appartement de 3...",http://dyn.visuels.poliris.com/logosAgences/std/1/114251.png,2000,28.5714285714,3.0,70.0
17,location Appartement 1 pièce Paris 17ème,"RUE CATULLE MENDES, proche du metro PORTE DE CHAMPERRET, immeuble ancien,...",http://8.visuels.poliris.com/c175/8/2/c/e/82cefe7a-585b.jpg,787,13.5689655172,1.0,58.0
13,location Appartement 2 pièces Paris 13ème,"Dans le quartier Buttes aux Cailles / Glacière, rue de Tolbiac, au 5ème...",http://dyn.visuels.poliris.com/logosPublications/std/1/21211.png,950,23.1707317073,2.0,41.0
14,location Appartement 4 pièces Paris 14ème,"Rue d'Alésia, métro Alésia, dans un bel immeuble ancien avec gardien et...",http://b.visuels.poliris.com/c175/b/1/c/f/b1cfcc70-2a98.jpg,2263,26.6235294118,4.0,85.0
20,location Appartement 2 pièces Paris 20ème,"Au 1er étage d'une jolie petite copropriété, grand studio de 29,69 m² avec...",http://4.visuels.poliris.com/c175/4/a/9/e/4a9ed54c-2e71.jpg,905,13.115942029,2.0,69.0
9,location Appartement 6 pièces Paris 9ème,"APPARTEMENT VIDE 4 CHAMBRES Paris Métro Cadet (ligne 7) Au pied du métro. A deux pas du square Montholon Au 4ème étage avec ascenseur, APPARTEMENT...",http://c.visuels.poliris.com/c250/c/b/d/e/cbdefe1c-2d74.jpg,3500,20.1149425287,6.0,174.0
19,location Appartement 1 pièce Paris 19ème,19é buttes chaumont métro buttes chaumont dans bel immeuble récent beau et grand...,http://b.visuels.poliris.com/c250/b/a/1/8/ba185d5c-5a93.jpg,900,27.2727272727,1.0,33.0
1,location Appartement 2 pièces Paris 1er,"Dans un très bel immeuble rénové, au 2ème étage avec...",http://e.visuels.poliris.com/c175/e/4/0/2/e402ec08-6705.jpg,1100,36.6666666667,2.0,30.0
20,location Appartement 3 pièces Paris 20ème,"A 5 mn de la place de la Nation, Métro Porte de Vincennes, un appartement...",http://8.visuels.poliris.com/c175/8/c/4/4/8c44c7f8-2aed.jpg,1590,42.972972973,3.0,37.0
17,location Appartement 2 pièces Paris 17ème,"Location Meublée Paris 17ème, rue Aumont Thiéville, au métro et RER (C)...",http://8.visuels.poliris.com/c175/8/e/e/8/8ee8aed9-4dff.jpg,1750,38.0434782609,2.0,46.0
8,location Appartement 3 pièces Paris 8ème,"50 m², 3e étage, immeuble 18e siècle rénové, ascenseur,...",http://a.visuels.poliris.com/c175/a/1/7/f/a17f552e-3090.jpg,1840,36.8,3.0,50.0
8,location Appartement 6 pièces Paris 8ème,"250 m², 6e étage, bel immeuble pierre, ascenseur, entrée, triple séjour/salle à...",http://3.visuels.poliris.com/c250/3/2/3/1/323199b0-38ba.jpg,6300,25.2,6.0,250.0
17,location Appartement 2 pièces Paris 17ème,"Face Parc Monceau: 62 m², 2e étage, bel immeuble pierre, ascenseur, entrée, séjour avec coin repas (+ canapé-lit), 1 chambre (lit 160 cm), 2e petite...",http://0.visuels.poliris.com/c250/0/b/0/2/0b0272a1-4964.jpg,1800,29.0322580645,2.0,62.0
15,location Appartement 3 pièces Paris 15ème,"61 m², 6e étage sur cour, immeuble moderne, ascenseur, entrée, séjour avec...",http://8.visuels.poliris.com/c175/8/9/4/a/894aa846-3a2a.jpg,2690,44.0983606557,3.0,61.0
15,location Appartement 2 pièces Paris 15ème,"Appartement refait à neuf, au 5ème étage avec ascenseur...",http://8.visuels.poliris.com/c175/8/b/6/8/8b68ec19-3e0b.jpg,1290,23.4545454545,2.0,55.0
10,location Appartement 1 pièce Paris 10ème,Dans un immeuble 1900 ravalé rue d'Hauteville avec une belle cage...,http://0.visuels.poliris.com/c175/0/2/3/d/023d8c85-598c.jpg,590,39.3333333333,1.0,15.0
5,location Appartement 3 pièces Paris 5ème,"Location meublée de Charme Paris 5ème, Rue Henri Barbusse, au RER B Port...",http://5.visuels.poliris.com/c175/5/2/4/9/5249c895-3f39.jpg,2500,31.25,3.0,80.0
11,location Appartement 3 pièces Paris 11ème,"Dans bel immeuble haussmannien, beau 3 pièces, 4e étage,...",,1313,25.7450980392,3.0,51.0
6,location Appartement 3 pièces Paris 6ème,"Location Meublée Paris 6ème, rue de Rennes, au métro Rennes (ligne 12), un...",http://6.visuels.poliris.com/c175/6/7/0/0/67006cd8-324a.jpg,2700,38.5714285714,3.0,70.0
16,location Appartement 2 pièces Paris 16ème,"Entre le village d'AUTEUIL et le Pont Mirabeau 2 pièces 45 M², au 5ème et...",http://1.visuels.poliris.com/c175/1/f/e/d/1fed544a-2e5d.jpg,1100,24.4444444444,2.0,45.0
17,location Appartement 2 pièces Paris 17ème,Paris 75017 métro Porte Maillot bel Appartement de 02...,http://f.visuels.poliris.com/c175/f/f/3/c/ff3cdb4e-64de.jpg,1300,31.7073170732,2.0,41.0
14,location Appartement 3 pièces Paris 14ème,A 2 Pas de la Tour et de la gare Montparnasse. Rue du Commandant René...,http://0.visuels.poliris.com/c175/0/a/0/b/0a0b61eb-5e14.jpg,2000,28.5714285714,3.0,70.0
17,location Appartement 2 pièces Paris 17ème,"Location Meublée Paris 17ème, Porte Maillot (ligne 1 ou RER C), rue Aumont...",http://7.visuels.poliris.com/c175/7/e/4/2/7e42bbe0-48ba.jpg,1380,39.4285714286,2.0,35.0
3,location Appartement 3 pièces Paris 3ème,"Location Meublée Paris 3ème, rue Bracque,(métro Rambuteau ligne 11 ou...",http://9.visuels.poliris.com/c175/9/4/1/e/941edd95-3ff1.jpg,3800,32.4786324786,3.0,117.0
15,location Appartement 2 pièces Paris 15ème,Appartement proche toute commodité dans le 15ème...,http://static.poliris.com/z/produits/sl/sv6_gen/images/logo_orpi_2010_40.gif,903,30.1,2.0,30.0
17,location Appartement 3 pièces Paris 17ème,A louer magnifique appartement calme et refait a neuf au...,http://6.visuels.poliris.com/c175/6/4/4/8/644814bf-2b81.jpg,1500,28.8461538462,3.0,52.0
17,location Appartement 2 pièces Paris 17ème,"Location Meublée Paris 17ème, rue des Batignolles, au métro Rome (ligne 2)...",http://b.visuels.poliris.com/c175/b/7/2/4/b7242bf6-4558.jpg,1100,31.4285714286,2.0,35.0
7,location Appartement 2 pièces Paris 7ème,"SUR L'ESPLANADES DES INVALIDES, rue Fabert, Jolie petit...",http://f.visuels.poliris.com/c175/f/0/d/a/f0da95c8-3b40.jpg,1000,25.0,2.0,40.0
3,location Appartement 2 pièces Paris 3ème,"RUE Saint GILLES, Métro: Chemin Vert, appartement situé au 1er étage avec...",http://dyn.visuels.poliris.com/logosPublications/std/7/1097.png,1794,32.0357142857,2.0,56.0
16,location Appartement 1 pièce Paris 16ème,"RUE FELICIEN DAVID, appartement situé au 7ème étage: entrée, séjour, cuisine, salle de bains, WC séparés. Chauffage individuel électrique.",http://3.visuels.poliris.com/c250/3/f/6/0/3f60fd88-6087.jpg,838,26.1875,1.0,32.0
13,location Appartement 1 pièce Paris 13ème,Limite Paris 13ème - IVRY SUR SEINE (300 m du Métro Porte Choisy):...,http://7.visuels.poliris.com/c175/7/6/7/f/767f3ad0-39f4.jpg,730,27.037037037,1.0,27.0
16,location Appartement 2 pièces Paris 16ème,Avenue Henri Martin - Au 6ème et dernier étage avec ascenseur d'un bel...,http://8.visuels.poliris.com/c175/8/5/c/f/85cf374f-21b7.jpg,1200,36.3636363636,2.0,33.0
16,location Appartement 3 pièces Paris 16ème,Rue François Millet dans un immeuble pierre de taille au 2ème étage sur...,http://2.visuels.poliris.com/c175/2/5/5/b/255be2a2-620f.jpg,1450,32.2222222222,3.0,45.0
15,location Appartement 2 pièces Paris 15ème,"A 2 pas du parc Georges Brassens, appartement 2 pièces de 40 m² en très...",http://2.visuels.poliris.com/c175/2/5/0/d/250d1f2f-4a53.jpg,1150,28.75,2.0,40.0
16,location Appartement 2 pièces Paris 16ème,: Village d'Auteuil: Métro Jasmin proche des commerces et des transports...,http://8.visuels.poliris.com/c175/8/7/f/4/87f4e53f-4ce2.jpg,1274,31.85,2.0,40.0
16,location Appartement 2 pièces Paris 16ème,"Jasmin, rue de la Source. Dans un immeuble ancien de bon standing, en rez...",http://2.visuels.poliris.com/c175/2/0/9/c/209c99bb-3b43.jpg,920,31.724137931,2.0,29.0
17,location Appartement 3 pièces Paris 17ème,"Situé à quelques pas du Parc Monceau, cet appartement de 80 m² est loué...",http://5.visuels.poliris.com/c175/5/e/8/0/5e80bdbe-43e0.jpg,2800,35.0,3.0,80.0
19,location Appartement 2 pièces Paris 19ème,Paris 19E - EXCLUSIVITÉ - BUTTES CHAUMONT - Parfaitement...,http://9.visuels.poliris.com/c175/9/8/6/6/98663ca6-466f.jpg,964,17.5272727273,2.0,55.0
15,location Appartement 1 pièce Paris 15ème,"A 2'à pied du Métro Volontaires (ligne 12), proche toutes...",http://b.visuels.poliris.com/c175/b/1/1/6/b116b862-4522.jpg,525,43.75,1.0,12.0
16,location Appartement 5 pièces Paris 16ème,75116-Avenue Kléber-Pied Métro Kléber. Au sein d'une copropriété de bon...,http://b.visuels.poliris.com/c175/b/d/1/a/bd1aef3e-3ab6.jpg,3500,23.3333333333,5.0,150.0
20,location Appartement 1 pièce Paris 20ème,"Honoraires: 360.00 E. Dans résidence des années 75, de bon standing et...",http://0.visuels.poliris.com/c175/0/8/c/4/08c4737d-1fc7.jpg,795,33.125,1.0,24.0
18,location Appartement 1 pièce Paris 18ème,"75018 Paris, A la sortie du Métro Marcadet (L4/12), Gros coup de coeur...",http://6.visuels.poliris.com/c175/6/7/9/2/679255fa-3c58.jpg,720,37.8947368421,1.0,19.0
10,location Appartement 2 pièces Paris 10ème,"Quai de Jemmapes, dans immeuble récent, bel appartement...",http://7.visuels.poliris.com/c175/7/8/5/2/7852e6a3-7178.jpg,1385,27.7,2.0,50.0
11,location Appartement 2 pièces Paris 11ème,"Dans un immeuble en pierre de taille rue Saint Maur, Ce deux pièces se compose d'une grande entrée avec cuisine, d'une pièce principale et d'une salle...",http://5.visuels.poliris.com/c250/5/c/f/0/5cf00405-2f44.jpg,850,30.3571428571,2.0,28.0
20,location Appartement 4 pièces Paris 20ème,"Proche du métro Saint Fargeau, dans un quartier commerçant. Appartement de...",http://c.visuels.poliris.com/c175/c/2/e/3/c2e366fc-3b32.jpg,1700,40.4761904762,4.0,42.0
15,location Appartement 1 pièce Paris 15ème,"Rue Emmanuel Chauvière, au 3ème étage avec ascenseur, nous vous proposons...",http://8.visuels.poliris.com/c175/8/7/3/1/8731ac13-4665.jpg,650,26.0,1.0,25.0
2,location Appartement 2 pièces Paris 2ème,Nous vous proposons un appartement d'une superficie de 32 m² au 1ère étage...,http://a.visuels.poliris.com/c175/a/a/a/b/aaabcdf2-24d5.jpg,1300,40.625,2.0,32.0
20,location Appartement 1 pièce Paris 20ème,EXCLUSIVITÉ / Paris 75020 / 63 rue des Cascades / 2 Pièces de 19m² Meublé /...,http://b.visuels.poliris.com/c175/b/c/7/2/bc724b96-464b.jpg,674,35.4736842105,1.0,19.0
15,location Appartement 2 pièces Paris 15ème,"PLACE DU COMMERCE.
2 pièces.
Au 8ème et dernier étage avec...",http://b.visuels.poliris.com/c175/b/0/e/1/b0e1f7ca-2553.jpg,950,30.6451612903,2.0,31.0
7,location Appartement 2 pièces Paris 7ème,"Paris 7ème Métro École militaire à 5"" dans rue calme au 2étage beau 2...",,1070,35.6666666667,2.0,30.0
16,location Appartement 2 pièces Paris 16ème,Quartier AUTEUIL- Metro CHARDON LAGACHE. Dans un immeuble...,http://7.visuels.poliris.com/c175/7/e/9/d/7e9d60c7-3619.jpg,1395,28.4693877551,2.0,49.0
7,location Appartement 1 pièce Paris 7ème,"Rue Chevert, à 160 mètres du métro École Militaire, dans un immeuble de...",http://f.visuels.poliris.com/c175/f/b/2/a/fb2adc84-35ae.jpg,1045,32.65625,1.0,32.0
3,location Appartement 4 pièces Paris 3ème,"Paris III, Situé rue Notre Dame de Nazareth à deux pas du métro Temple, au...",http://2.visuels.poliris.com/c175/2/a/3/d/2a3d17b4-4c87.jpg,3935,27.9078014184,4.0,141.0
10,location Appartement 2 pièces Paris 10ème,"Au 7ème et dernier étage avec ascenseur, dans un immeuble récent....",http://5.visuels.poliris.com/c175/5/6/3/2/56325e70-65d2.jpg,1300,33.3333333333,2.0,39.0
19,location Appartement 1 pièce Paris 19ème,Dans un immeuble ancien au 2e étage à proximité des Buttes chaumont un...,,620,34.4444444444,1.0,18.0
15,location Appartement 3 pièces Paris 15ème,Metro PLAISANCE: Venez découvrir ce charmant 2/3 pièces avec plan étoile...,http://0.visuels.poliris.com/c175/0/7/d/c/07dc9c45-3379.jpg,1780,26.5671641791,3.0,67.0
